Solucion:
x0 = 0, y0 = 1
x1 = 0.01000, y1 = 1.00000
x2 = 0.02000, y2 = 1.00060
x3 = 0.03000, y3 = 1.00160
x4 = 0.04000, y4 = 1.00300
x5 = 0.05000, y5 = 1.00480
x6 = 0.06000, y6 = 1.00701
x7 = 0.07000, y7 = 1.00962
x8 = 0.08000, y8 = 1.01264
x9 = 0.09000, y9 = 1.01606
x10 = 0.10000, y10 = 1.01989
x11 = 0.11000, y11 = 1.02414
x12 = 0.12000, y12 = 1.02880
x13 = 0.13000, y13 = 1.03387
x14 = 0.14000, y14 = 1.03937
x15 = 0.15000, y15 = 1.04529
x16 = 0.16000, y16 = 1.05164
x17 = 0.17000, y17 = 1.05842
x18 = 0.18000, y18 = 1.06563
x19 = 0.19000, y19 = 1.07328
x20 = 0.20000, y20 = 1.08137
x21 = 0.21000, y21 = 1.08992
x22 = 0.22000, y22 = 1.09891
x23 = 0.23000, y23 = 1.10836
x24 = 0.24000, y24 = 1.11828
x25 = 0.25000, y25 = 1.12866
x26 = 0.26000, y26 = 1.13952
x27 = 0.27000, y27 = 1.15087
x28 = 0.28000, y28 = 1.16269
x29 = 0.29000, y29 = 1.17502
x30 = 0.30000, y30 = 1.18784
x31 = 0.31000, y31 = 1.20117
x32 = 0.32000, y32 = 1.21502
x33 = 0.33000, y33 = 1.22938
x34 = 0.34000, y34 = 1.24428
x35 = 0.35000, y35 = 1.25972
x36 = 0.36000, y36 = 1.27571
x37 = 0.37000, y37 = 1.29225
x38 = 0.38000, y38 = 1.30935
x39 = 0.39000, y39 = 1.32703
x40 = 0.40000, y40 = 1.34529
x41 = 0.41000, y41 = 1.36414
x42 = 0.42000, y42 = 1.38359
x43 = 0.43000, y43 = 1.40366
x44 = 0.44000, y44 = 1.42434
x45 = 0.45000, y45 = 1.44566
x46 = 0.46000, y46 = 1.46762
x47 = 0.47000, y47 = 1.49024
x48 = 0.48000, y48 = 1.51352
x49 = 0.49000, y49 = 1.53747
x50 = 0.50000, y50 = 1.56212
x51 = 0.51000, y51 = 1.58746
x52 = 0.52000, y52 = 1.61352
x53 = 0.53000, y53 = 1.64030
x54 = 0.54000, y54 = 1.66781
x55 = 0.55000, y55 = 1.69608
x56 = 0.56000, y56 = 1.72511
x57 = 0.57000, y57 = 1.75491
x58 = 0.58000, y58 = 1.78551
x59 = 0.59000, y59 = 1.81691
x60 = 0.60000, y60 = 1.84912
x61 = 0.61000, y61 = 1.88217
x62 = 0.62000, y62 = 1.91606
x63 = 0.63000, y63 = 1.95082
x64 = 0.64000, y64 = 1.98645
x65 = 0.65000, y65 = 2.02297
x66 = 0.66000, y66 = 2.06040
x67 = 0.67000, y67 = 2.09875
x68 = 0.68000, y68 = 2.13804
x69 = 0.69000, y69 = 2.17828
x70 = 0.70000, y70 = 2.21950
x71 = 0.71000, y71 = 2.26170
x72 = 0.72000, y72 = 2.30491
x73 = 0.73000, y73 = 2.34914
x74 = 0.74000, y74 = 2.39441
x75 = 0.75000, y75 = 2.44073
x76 = 0.76000, y76 = 2.48813
x77 = 0.77000, y77 = 2.53662
x78 = 0.78000, y78 = 2.58623
x79 = 0.79000, y79 = 2.63696
x80 = 0.80000, y80 = 2.68884
x81 = 0.81000, y81 = 2.74189
x82 = 0.82000, y82 = 2.79613
x83 = 0.83000, y83 = 2.85157
x84 = 0.84000, y84 = 2.90824
x85 = 0.85000, y85 = 2.96616
x86 = 0.86000, y86 = 3.02534
x87 = 0.87000, y87 = 3.08581
x88 = 0.88000, y88 = 3.14758
x89 = 0.89000, y89 = 3.21069
x90 = 0.90000, y90 = 3.27515
x91 = 0.91000, y91 = 3.34097
x92 = 0.92000, y92 = 3.40820
x93 = 0.93000, y93 = 3.47683
x94 = 0.94000, y94 = 3.54690
x95 = 0.95000, y95 = 3.61844
x96 = 0.96000, y96 = 3.69145
x97 = 0.97000, y97 = 3.76597
x98 = 0.98000, y98 = 3.84202
x99 = 0.99000, y99 = 3.91963
